,2018 bmw 5 series,2017 bmw 7 series,2016 벤츠 C클래스,2018 벤츠 S클래스 L
11,눈트임 이후에 판매량 급감해서 안팔리니 폭풍할인하게되고 때는 이때다 싼맛에 사면서 성능운운하며 달려드는 것들 때문에 이미지 저렴해져서 구매력되는 층들은 같이 취급받는게 싫어서 더 벤츠로 돌아서고 악순환. 비엠 디자인팀은 회사를 말아먹은 책임을 물어야 함.,"7시리즈의 아쉬운건 내부 인테리어, 벤츠s클래스나 아우디a8같은 대표급 기함들은 그 모델에만 적용되는 인테리어 디자인을 사용해서 이 차들은 다른 아래모델이랑은 차원이 다르다는 메세지를 주려고 하는 반면에 7시리즈는 그냥 bmw공통 인테리어를 그대로 사용함 결국 5시리즈보다 큰 차별화를 주지 못하고 크기와 배기량만 키운 차정도의 인식에서 못 벗어남",c220 4MCATIC 개인사업자 선금2천 나머지36할부로 견적부탁드립니다 haan807@naver.com,이차를 까는거 자체가 이차에대한 예의가 없는 새끼임 타보면 왜 최고인지 알게된다
12,1100마눤 할인 기본으로 갑닏다,"▶ BMW 7시리즈 ◀ 모든 등급 11월 프로모션, 가장 빠른 출고일, 서비스 ①등 ★ Ο1Ο 5 9 l 3 ─ 2 7 7 5 ★ 　◀","c220d,gla 둘다 가장 기본으로.개인사업자 운용리스2만키로/선수20/보증0/48개월1월 계약기준딜러분들 견적 환영합니다.sungsil950@naver.com",내 연봉으로 4년동안 한푼도 안쓰고 모으면 살 수 있다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
13,여기 견적요청 하는놈들 진짜 실구매자 맞긴맞음?,차단된 댓글입니다,세단에서 이만큼 완성된 디자인도 없을듯,차단된 댓글입니다
14,펙트 : 가격말고 깔게 없는차...,"실물이 참 이쁘더라.. ㅎ 전에껀 젊은 사람이 타기에는 조금 늙어보였는데, 지금껀 너무 예쁘고 세련됨!! 젊은 사람들이 타야될거같은 ㅎㅎ 물론 개인적인 의견입니다~~ 나중엔 이런 큰 차 타고 싶음. s클래스나 7시리즈나 a8 같은거... 언젠간...ㅎ",가솔린 c200 공식 비공식 법인리스 견적 부탁드려요 hong2u@naver.com선수금30 잔존간치 30,350은 특유의 달달달 디젤 소리가 들린다카던데 아빠 친구찬데 이차는 가솔린으로 사야될듯
15,520d 엑드 엠펙플러스 인생 첫차 인데 뒷자리 조금 좁은거 빼고 다른부분은 정말 대만족합니다!,플래그OOO단으로서 s클래스보다 많이 모자란 슬픈현실,c200d 선수금2000 + 할부60개월 = 프로모션포함한 최적금액 견적부탁드립니다 tldnr24@naver.com입니다,이 차탄다고 부자아니다 요즘 시대엔ㅇㅇ
16,520d 2.0디젤 현금 완납가 견적 부탁 드립니다. wooya1109@naver.com,750li xdrive 보증금=잔존=30프로에 36개월 리스로 견적 부탁드립니다~ ic1818181@naver.com,견적부탁드립니다 c200d 1goodfe1@naver.com,s350d 선수 30프로법인 리스 견적 받고 싶어요artcoca@hanmail.net
17,520d 모델별 현금 완납가 견적 부탁 드립니다. sky840529@naver.com,740d 봤는데 s클이랑은 다른 포스가 있음,220d avantgarde 17. 9월이후 생산분 화이트로 견적 좀 내주세요~디젤로요.,내차가 e클인데 s클로 바꿀까 생각중
18,2018년형 520d 풀옵최종가 견적(일시불/할부) 부탁드려요s540179@naver.com,"▶ BMW 7시리즈 ◀ 모든 등급 프로모션, 가장 빠른 출고일, 서비스 ①등 ★ Ο1Ο 5 9 l 3 ─ 2 7 7 5 ★ nice",가솔린 c200 공식 비공식 현금 리스 견적 부탁드려요 daebaring@naver.com,"대형 세단의 교과서, 절대강자 S클래스.. 성공해서 꼭 타고 싶습니다."
19,"520d 럭셔리se 선수금 2000 + 할부36개월, 할부60개월 견적 부탁드립니다. illeagal@nate.com",e38때부터 정말 좋아했던 차인데요... 인테리어 부분에서 초호화 S클과 미래적인A8과 달리 일반인들 시각에서는 부각되는 부분이 없는것 같습니다,현금 일시불 C220d 견적부탁드립니다bluenapple@naver.com,▶　벤츠 S클래스 ◀ 차량 11월 좋은 조건 진행 도와드립니다 　○1○ 5 9 l 3 ─ 2 7 7 5　　　　　　　　　　　　　　　　리스 or 장기렌트 구매 예정이시면 무조건!　　　○1○ 5 9 l 3 ─ 2 7 7 5 GOOD
20,530i 모델별 자세한 견적부탁드립니다. 현금 일시불도 가능하지만 할부 조건이 더 좋다면 할부로도 가능합니다. rlarlgnjs@naver.com으로 견적 꼭 부탁드립니다. 견적만 잘 나오면 바로 구매합니다.,전설의 할인 카. 제네시스g80 한대가 빠집니다.,죽이네요^^,아~ 강매들어온다 처남이 벤츠영업사원이란다 ㅠ
21,3천 선수금 나머지할부 520d풀옵 36개월 or 60개월 견적보내주세요. cslee1987@naver.com,내 드림카.. 지금은 고딩이지만 꼭 무슨짓을 해거든 살꺼다.. 꼭...,C220d 4M일시불bulsiul@naver.com,"처음에 벤츠 디자인보고 좋았으나 전조등 LED 한줄에서 3줄 이게뭐여.. 가치 떨어지게..중후한 멋을 자랑하던 벤츠 전조등 떄문에 촐랑대는차로 변신...지금 장난하나..그리고 나는 벤츠 가장 안좋은게 기어넣는것을 운전대에 붙여 놓은것..이 부분은 시동 버튼과 함께 아우디가 최고 ...아마 이부분 떄문에 아우디 선택할 수 도,,.."
22,2018 BMW 530I M 스포츠 현금/선수금 3000만원 + 할무 36개월 두 가지 견적 부탁드립니다.jaoyz66@naver.com,저도 예전 크리스뱅글시절부터 bmw광팬이었는데요... 디자인은 단연 bmw다 라고 생각할 정도로 bmw팬이었습니다... 근데 이 세그먼트에선 s클래스와 비교하기가 민망할 정도로 s클래스 인테리어가 압도적이더군요... 부디 bmw만은 정체성을 찾아서 s클래스와 제대로 경쟁하는 날을 기대해 보겠습니다...,"지역은 부산이나 전국 어느 지점이든 상관없습니다. c200. 할부없이 현찰로 삽니다 공식,비공식 견적 부탁드립니다. xops@naver.com 입니다. 장난치는것이 아닌 실구매 예정자이니 최적으로 꼭 견적부탁합니다.매장에도 주말에 견적 알아볼생각입니다.감사합니다.",s클은 솔직히 이거 전전세대가 포스갑이었음
23,내차가 이번에 안정성평가 거의 만점이라니 차를잘샀다는 느낌이 드네요^^ 이전에 현대 그랜저타다가 폐차수준의 사고를당했었는데 에어백은안터지고 병원신세만 몇개월을지니 자동차는 안전이 최우선이라는 생각을했습니다. 어쨋든 안전하게 잘타고싶네요^^,BM타봤으니까 벤츠 타봐야지 해서 시승해 봤는데..오너 드라이버라면 역시 BM!! 벤츠는 너무 노인네 차같음..,"지역은 부산이나 전국 어느 지점이든 상관없습니다. c200 av 보고있습니다. 선수금3000, 3500잡고 있습니다.48,60개월계획중이구요. 공식,비공식 견적 부탁드립니다.cbgkorea@naver.com 입니다. 장난치는것이 아닌 실구매 예정자이니 최적으로 꼭 견적부탁합니다.",이차 보고왔는데 트렁크가 e클보다 좁아서 골프백2개도 안들어가게생김
24,530i 이번 년도 안에 산다!,S63 AMG 제로백 3.5초..,"가솔린 터보 아방가르드모델, 전액 현금 공식 비공식 각각 견적 부탁드립니다. pomme3336@gmail.com",이것도 구르면 작살날까?
25,520D Luxury와 M Sport 차이점이 뭔가요? 2월3월 계약 예정입니다. 견적을 받고 싶네요 현금이 선수위고 프로모션에 따라 다를 수 있습니다.kimhan6405@nate.com,m760li 현존하는 대형 세단중 가장 안정적으로 가장빠르게 갑니다. 실제 운전해보면 s63비교시 확실히 반등급위라는 느낌이 듭니다. 구형 파나메라 터보에스랑과 비교시 시내 주해시는 부드럽고 울컥 거림 없으며 고속주행 모드로 가면 더 부드러우면서 안정적이면서도 더 빠르 느낌..저평가 받고 있는데 현시대 최고의 퍼포먼스 대형세단으로 보시면 됩니다.,20초~35세 미만까지는 노카푸어 인정.. 그 나이대 이상이 타고 다니면 능력없는 카푸어 ㅅㄱ,미국에 이거 돌아다니면 ...ㅋㅋ 보면 다 짱깨임.. 거의 80%는 짱깨... 그래서 응디애들도 짱개졸부차란 인식이 없진않음... 물론 미국 기업 사장들도 많이들 탐
26,이메일 :seok1568@hanmail.net. 답변부탁합니다,bmw7 시리즈는 좀더 고급저 보입니다. 음. 하지만 구매는 할수 없고 아무래도 렌트카 이용하는게 저렴하겠네요.http://moducar.net/intro,"dhqhrrlfdl@naver.com200d 선수금 2000천 36개월,24개월견적 부탁드립니다최대한 빨리부탁드리고 가장 저렴한 딜러분께 내일 내로 구매예정입니다 급해여",▶　벤츠 S클래스 ◀ 차량 11월 좋은 조건 진행 도와드립니다 　○1○ 5 9 l 3 ─ 2 7 7 5　　　　　　　　　　　　　　　　리스 or 장기렌트 구매 예정이시면 무조건!　　　■　○1○ 5 9 l 3 ─ 2 7 7 5　■　전국 1등 조건
27,xdrive m sport package plus 프로모션하면 얼마까지 견적 나오나요?실구매자입니다.,"▶ BMW 7시리즈 ◀ 모든 등급 프로모션, 가장 빠른 출고일, 서비스 ①등 ★ Ο1Ο 5 9 l 3 ─ 2 7 7 5 ★ ＠!^^",c200d 모델 현금일시불 프로모션을 비롯한 견적부탁드립니다. mirgkdus88@naver.com,나만 앞 헤드라이트랑 별로..? 그리고 이제 뒤도 하도많이봐서 너무 식상한디..
28,슬슬.. 반년넘게타니 포르쉐로 넘어가곱다..독삼사 너무많다 요즘........,안녕하세요~! ucc89@naver.com 문의주시면 상담 성심성의껏 도와드리겠습니다^^,"C220d 선수금1000,2000에 견적 /프로모션 부탁드립니다 할부 60, 36개월입니다. medi4670@naver.com 1월 구입 예정입니다.",s클래스 판매량 1위국가 대한민국...하지만 70%이상이 350d모델들이라는거...뭔가 씁쓸하네요
29,■ BMW 5시리즈 01월 등록 조건!! ■ plus기준 1200만 할인■ 좋은 조건 진행 도와드립니다 　○1○ 5 9 l 3 ─ 2 7 7 5　　　　　　리스 or 장기렌트 구매 예정이시면 무조건!　　　○1○ 5 9 l 3 ─ 2 7 7 5　　　　　　　　　　　　　　　　　　　　　　　▶ 재고가 없다고 들으셨던 고객님이 원하시는 컬러 전국 재고 1대라도 남아 있으면 출고 도움 드리겠습니다 ◀　　　　　　　　공격적인 견적서 드립니다. 좋습니다!,제가 사업이 대박이 나서 급돈을 벌엇는데요... s클 혹은 7시리즈사려고 하는데 어떤 차이가 나죠..?,벤츠c클래스 200d견적부탁드려요 할인제일 큰곳으로 할게요~~^^ 요번달이나 다음달중에 구입할겁니다oica12@naver.com으로 보내주세요.,이차는 내꺼
30,"520d xdrive plus 개인사업자. 리스, 렌트 선수금 최소로 견적문의합니다. dha9158@naver.com","▶ BMW 7시리즈 ◀ 모든 등급 프로모션, 가장 빠른 출고일, 서비스 ①등 ★ Ο1Ο 5 9 l 3 ─ 2 7 7 5 ★ ＠",C200d 아방가르드 / 흰or쥐색 / 경기도 / 리스 / 보증금 선수금 20프로 60개월 or 48개월 cmhlbm@naver.com 견적부탁드립니다.,S560 2억5백 출시
31,"선수금 2500 나머지 할부 520d 럭셔리 에디션,520d m패키지 견적 요청합니다 외장색상은 임페리얼블루 및 블랙,내장은 베이지또는 브라운입니다.dduts86@hanmail.net 입니다 꼭 부탁드려요",디자인 개혁의 의지가 없어보임. 고가의 물건들은 결국 디자인이 생명인데.. 이렇게 계속 벤츠에게 밀리다간 생명을 다할듯.,흉기 알밥 새끼들 ip로 이것들도 수사해야...,▶　벤츠 S클래스 ◀ 차량 10월 좋은 조건 진행 도와드립니다 　○1○ 5 9 l 3 ─ 2 7 7 5　　　　　　　　　　　　　　　　리스 or 장기렌트 구매 예정이시면 무조건!　　　■　○1○ 5 9 l 3 ─ 2 7 7 5　■　전국 1등 조건
32,520d 현금 2000만 견적 부탁 드립니다. ktj1902@naver.com,실제로도 몇번 봣는대 여윽시 디자인 개빻음,c220d 타고있는데 4단에서 5단 변속시 미션떨림이 있네요 그리고 브레이크소음같은 자잘한 스트레스를 주는차입니다 그래도 나름 만족하고 타고있습니다,S400D 견적 부탁드립니다. 현금 일시불가격으로 부탁드립니다.hoteet123@nate.com아버지 선물로 드릴려고합니다 구매시기는 한두달뒤
33,올해도 이차가 답이겠구만........항상 느끼는 것이지만 실버색상도 잘 소화하며 올블랙 인테리어 조차 고급스럽게 만들어버리니.....5시리즈 너란 놈은 도대체....,S클래스고 나발이고 7시리즈가 간지남,C200 아방가르드 / 실버 / 경기도 / 리스 / 보증금 선수금 30프로 60개월 48개월xogns5292@naver.com 좋은 견적부탁드려요!!,디젤차랑 가솔린차 큰차이없습니다.. 저는평택항 국제자동차부두에서일하는데 bmw 랜지로바타고있는데 크게차이없습니다.물론 가솔린이좋죠.그렇지만 자동차란소음이어느정도 잇어야죠..전기차 타보셔요.시동이걸려는지 꼭악세라다발바바야알죠..ㅎㅎㅎㅎㅎㅎ
34,900만원할인+재구매할인100만+또오셨넹100만할인+계약하시게요?100만 더 할인해드릴게요ㅎㅎ 작년2월에 추가할인 없다매 ㅋㅋㅋㅋㅋㅋㅋ,성공한 젊은40대사업가가 타면 딱인듯,c200 가솔린 최저가 견적비교 중이구요급급 빠른 구매 원합니다쪽지 주시면 전화나 문자바로드릴게요,고급스러운 외모와 어울리지않는 달달달 달구지소리...아..s350dㅋㅋㅋ 디젤차살꺼면 차라리 싼모델 가솔린차사라 S클 좋아하는 사람으로서 S달구지는 품격에 어울리지 않다고 생각함;;
35,2018.01 프로모션은 언제쯤 나오는거죠?,"▶ BMW 7시리즈 ◀ 모든 등급 프로모션, 가장 빠른 출고일, 서비스 ①등 ★ Ο1Ο 5 9 l 3 ─ 2 7 7 5 ★",C200 아방가르드 견적 부탁합니다. 프로모션에 따라 결제방식은 모두 가능합니다.부산이며 yeongyeob@naver.com 입니다. 12월 출고 희망합니다.,나는 이전모델이 더좋아
36,530i m sport package plus 블루스톤/모카시트 현금 또는 카드 일시불 견적 요청합니다. idonotknow30@naver.com,730d 견적 쪽지 부탁드립니다. lee900225@naver.com,C200아방 선수1500 할부60개월 딜러님 견적문의합니다 내년 1월예정^^wjdwnstn@hotmail.com,이번 세대는 얼굴이 2가지인가요?
37,520d 럭셔리 모델 할인도 꽤 하던데 가격적으로 매력있다,실내는 벤츠 s클 외관은 이놈,"C220d 선수금1000,2000에 견적 /프로모션 부탁드립니다할부 60개월입니다.darling2231@naver.com",몰라서 그러는데 s클래스 전면부 그릴 아방가르드는 없나요?
38,530i 현금 또는 50% 할부 견적 요청합니다. M sports plus 및 Xdrive 자세한 견적 요청합니다.crazydunk@naver.com,s클래스 영감님들차 7시리즈 간지나는영감님차,"c220d ava 견적 부탁드립니다 선수금2000, 36개월 12월구매예정 redross7@네이버",아 갖고싶다
39,"520d, 528i, 530i 견적 부탁드립니다.",baly0213@naver.com 730d 견적 부탁드립니다. 운용리스쪽으로요,C200d선수금 2000만원할부리스렌트견적 주세요~~딜러님들~~,내 미래의차
40,520d M Sport 올 현금 견적요청합니다. yaho7511@naver.com,쉽게 다른거 말안하겠습니다. 승차감 부분에서는 개인적인 생각으로는 벤츠 s보다는 bmw 7이 더 뛰어나다고 봅니다. 아직 사고는 나보지가 않아 단단한점은 모르겠고 소음이나 대화소리는 벤츠가 더 우세한 것을 보면 외부 구축은 잘 되어 있는 것이 사실이지만 기능성부분에서는 개인적으로 bmw 를 더 올리고 싶네요. 조작부분도 bmw가 더 쉽게 잘 만들어져 있구요. 벤츠 s500을 타다가 bmw7가 탐나서 바꾼 이유가 이 부분이었습니다.,c200av 일시불 견적 부탁드립니다.sb7772@naver.com,이차는 이제 제껍니다.
41,bmw 520d 견적 요청 합니다.구매 예정 시기는 1월이고 선수금 3천에 할부 봅니다sadoi79@nate.com,Bmw 암흑기인가? 7시리즈 5시리즈 그리고 믿었던 3시리즈까지 어떻게 다 벤츠한테 밀리냐,c220d 아방가르드 선수금700 리스60개월 chun85ys@네이버 12월구매예정,▶　벤츠 S클래스 ◀ 차량 10월 좋은 조건 진행 도와드립니다 　○1○ 5 9 l 3 ─ 2 7 7 5　　　　　　　　　　　　　　　　리스 or 장기렌트 구매 예정이시면 무조건!　　　■　○1○ 5 9 l 3 ─ 2 7 7 5　■　　NICE
42,530I 최고 사양 견적 주세요 2strong@naver.com,7시리즈라고 무조건빨아대는거보소ㅋ BMW가 스팀어의 선조며 시동꺼짐 결함에도 소비자 좆도무시하는 BMW코리아임ㅋ 그중7시리즈가 대장이고ㅋ 현기만큼의 뽑기를 이돈주고 하것냐?ㅋ,C200기본 선수1500에 48개월 할부 견적 내주세요 jonghac@naver.com 12월구매예정,s클 그냥 사회에서 한가닥하시는분들
43,■ BMW 5시리즈 01월 등록 조건!! ■ plus기준 1200만 할인■ 좋은 조건 진행 도와드립니다 　○1○ 5 9 l 3 ─ 2 7 7 5　　　　　　리스 or 장기렌트 구매 예정이시면 무조건!　　　○1○ 5 9 l 3 ─ 2 7 7 5　　　　　　　　　　　　　　　　　　　　　　　▶ 재고가 없다고 들으셨던 고객님이 원하시는 컬러 전국 재고 1대라도 남아 있으면 출고 도움 드리겠습니다 ◀　　　　　　　　공격적인 견적서 드립니다. 좋습니다!,3gt 선수4천 할부 24개월/36개월/ 견적맞으면 바로 계약하러 지방이든 어디든 갑니다/cksdl69892@naver.com,선수금 1000 60개월 경기도,그랜드체로키한번사봐라 미국까지 싫어진다
44,5년내로 이놈 산다 기다려라,아버지 740인데 탈때마다 지림..,너무 줫만해 ㅎㅎ,그랜드체로키 한번사봐라 미국까지 싫어진다
45,520d 풀옵 견적문의 ppssaadd@naver.com,7시리즈 엔진쪽 정비할려면 엔진을 들고 정비해야된다며 그래서 벤츠보다 비용이더 많이든다며,선수1000 견적부탁,추석 다음날 도산사거리 매장 지나가다 전시 되어있어서 한번 봤는데 실물이 사진보다 훨씬 멋있더군요.
46,530i 선수금 3~4천 나머진 36개월 할부나 리스 견적부탁해요. 할인만 많이해주시면 차량색상 관계없어요 gkssk1975@naver.com,"▶ BMW 7시리즈 ◀ 모든 등급 프로모션, 가장 빠른 출고일, 서비스 ①등 ★ ○1○ 5 9 l 3 ─ 2 7 7 5 ★",3시리즈가 훨 좋지 않나요?,엄마 5년만 기다려......도 못사줘 미안해
47,540i 엑드가 일억,휴가때 드라이빙센터에서 760li 타봣는데 진짜 죽이더군여,C200기본 선수금2000 48개월 견적좀 12월내 구매예정 ilover3130@naver.com,우리 다같이 꿈을 이뤄보아요
48,벤츠 e이랑 비교하는데 모양이랑 실내 너무딸린다 bmw 벤츠 e보다 할인좀해줘서 사볼까했는데 모양 실내 때문에 벤츠 e클로갔다 좀잘만들자 시대가 어느시대인데 그러닌깐 발리지,진짜 익스테리어 개 빻앗네,c200 기본. 선수금 2000(취득세 불포함) 할부 36개월로 견적좀부탁드려여. 12월안에 구입예정입니다.창원dlaksdhr@gmail.com,언제 팝니까?
49,벤츠 e클레스랜드로버 디스커버리 스포츠와 고민하다가 530i로 결정했는데후회없습니다.후회없네요,지방 촌놈인데 동네 아지매 이거 끌고다닌다 ㅋㅋㅋ 포스 개지림 740Ld xdrive ㅋㅋㅋ,"선수금 2000,3000두가지 견적 부탁드립니다 36개월 시승도 해봤고 c200아방가르드로 결정했습니다 최저금액 바로 매입합니다ilvboa1@gmail.com",▶　벤츠 S클래스 ◀ 차량 9월 좋은 조건 진행 도와드립니다 　○1○ 5 9 l 3 ─ 2 7 7 5　　　　　　　　　　　　　　　　리스 or 장기렌트 구매 예정이시면 무조건!　　　■　○1○ 5 9 l 3 ─ 2 7 7 5　■
50,돈은 어중간하게 벌고 과시는 하고싶고 기름값 걱정되니 타는 독3사 ㅎㅎ,응 이거 세대주면 에쓰클이랑 바꿔줌,선수금 1000 할부 48개월 2대 견적좀 부탁드려요seongok22@naver.com,벤츠는 모델이 왜케 짧은시간에 자주바뀔까요특히e클은 7년동안 풀첸지가 3번은 된듯..520d한테 너무 밀러서 그런가?2년3년타고 구형되면 ㅡㅡ
51,bmw530i 카드일시불or현금 후륜 or4륜 자세한견적 프로모션 부탁드려요 pigddonga@naver.com,이게 어떻게 5인승이냐 네이버 빡통들아 눈까리가 있으면 좀 쳐 봐라 사진만 봐도 승차 정원 4인승인데 대형 세단이라고 무작정 5인승 쳐박네,뭐가좋다고 빨아대냐?? 타보기는함? 사고나서 c200 렌트받았는데 댓글본거랑 너어무 달라서 어이가없던데외형만 괜찮지 내장도 온통 플라스틱에 산티 줄줄나고 스포츠 플러스 모드서 엑셀 반응만 나아지고 변속할때 거의 트럭처럼 울컥거리던데 도대체 뭘보고 그리 찬양하는건지 도통 이해가 안된다 뒷자석은 성인은 못타겠고 레그룸이 거의 쿠페급이던데 선루프는 크루즈만하고 배기구도 안보이고 벤츠마크 하나만 보고 빠는거냐??,벤츠 디자인이 점점 젊어지네. 빨리 성공한 30대들도 넘어올듯하다
52,5시리즈는 e60에서 끝났다고 본다 ㅇ,"외관은 개인적으로별론데 승차감,인테리어는 지림",c220d 아방가르드 선수금 2000에 할부 견적문의드려요 할인폭 가장많은곳에서 구입예정 khy821214@gmail.com,팩트)이차사는사람은 토크방같은곳에없음
53,520d M Sport Package 일시불 hih218@hanmail.net바로 계약가능합니다,BMW 7시리즈 최고의 조건! 최고의 딜러! 자신 있습니다 .○1○ 5 9 l 3 ─ 2 7 7 5,그리고 렉서스가SUV라는것을 이제야 알아네요!,▶　벤츠 S클래스 ◀ 차량 9월 좋은 조건 진행 도와드립니다 　○1○ 5 9 l 3 ─ 2 7 7 5　　　　　　　　　　　　　　　　리스 or 장기렌트 구매 예정이시면 무조건!　　　○1○ 5 9 l 3 ─ 2 7 7 5　　1
54,520d M Sport Package일시불bulsiul@naver.com,760 마력610 토크82 ㄷㄷㄷㄷ.......공회전으로만 마트주차장 올라가겠네,저는 이제야 벤츠C클레스가 디스커버리보다 튼튼하지 않는다는것을 이제야 알아네요.,450계약했는데 내년 하반기에 받을 수 잇답니다 빠르먼 8-9월.. 흠 지금차로 꾸준히 살고있어야겠네요
55,이번에 540i 출시됬던데요,길에서 봤는데 중후하면서도 스포티해보이고 이뻣음,C220d 선수금3500에 할부견적 /프로모션 부탁드립니다 nagoguma33네이버,"스님이 이차 뒷자리에서 내리시더라..? 절 뒷간엔 에쿠스 체어맨 벤츠 줄줄이 서있고(해인사,은해사) 종교인과세 빨리 시행해야됨;;"
