,제네시스 2017 g70,제네시스 2018 g80,제네시스 2017 eq900,2016 bmw 3 series,2018 bmw 5 series,2017 bmw 7 series,2016 벤츠 C클래스,2018 벤츠 S클래스 L
33,왤케 무겁냐.. 횬다이 기술력으로 경량화 못하나보네,"자꾸 뒷공간 얘기하는데 참고로, 뒷공간이 좁다는건 후륜기술이 초보수준이란것의 증거임. 뒷좌석에 위치하는 밋션 하나더있는데 공간확보를 못할만큼 기술력이 후달린다는거임. 경쟁차종이라는 3시리즈는 뒷좌석을 계속 넓혀가는데",승차감좋을까?,320d 12월 23일 부로 계약했습니다. ㅎㅎ1월 초쯤에 출고된다는데 잘 때마다 차 꿈을 꾸네요.풀체인지 전이라 프로모션이 상상 이상입니다. 인터넷 댓글 달지 말고 매장 방문하세요.,,,,
34,6년차 d딸딸이 처분하고 지난주 출고하니 신세계가 확 !!다가오네요,..우리보다 체구 훨씬큰 서양사람들도 이보다 작은급차 잘만 타고다니는데 그보다 작은 사람들이 뭐그리 실내공간에 열을 내는지 모르겠군요. 공간 큰걸원하면 G80계약하시면 되는거아닙니까?설마 아직도 가격 = 실내공간 이라고 생각하는사람은 없겠죠?,이큐!!!,320d 선수1천에 36개월할부 또는 전액현금 프로모션 견적바랍니다.kmbinggo@naver.com,,,,
35,개돼지80,휠베이스길면 실내도 넓은거라고 생각했는데.... 아닌가보네..... 제원상 휠베이스는 쏘나타보다 5mm 긴데...타본사람들은 아반떼만하다고 하면....트렁크 용량을 키운건가....,서민은 에바다 ㅠㅠ,"선수금 2천 , 36개월 할부 320d , ed 견적좀 부탁드립니다 showsyj@naver.com",,,,
36,정체성 없는 거지같은 디자인 차는 그냥저냥 ㅇㅇ 3.8미만으로는 제네시스라도 거지급ㅇㅇㅇㅇㅇㅇㅇ 제네시스에 3.3으로 타는 애들은 그냥 거지 아니냐,"이 모델 컨셉트 카 나왔을때 부터 혹해서, 실판 되자마자 대리점으로 달려갔다.정말 다른건 다 제껴두더라도,운전석 앉아보니, 내 2005년 형 스포티지 보다 좀 더 좁은 느낌이었고, 운전석 시트를 다리에 맞춰 조정 후, 내려서 뒷자리 문을 열어보니, 얼씨구??? 앞자리 시트가 뒷자리 시트에 닿아있네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이 모델은 스포츠카 형인데 과거 문 2 도어 는 거부감을 느끼는 한국사람들을 위해 문만 만들어 놓은거라나ㅋㅋㅋㅋㅋㅋㅋ화려함을 내세우는 대신 기본을 감한 느낌...외관은 멋지다 쳐도, 실상을 보니 중국인 느낌...",이친구(?)도 이제 너무 흔하다...,320D 선수금 2천에 할부로 이번달 안에 구입하려고 합니다. 견적 부탁드립니다. qwertyas@hanmail.net,,,,
37,흉빠는 없습니다. 도덕이란걸 배웠으면 이런 악덕기업 빨수는 없죠...,"이거 최소한 디자인은 뭔가 실패인거 같음. 첨 실물 봤을땐 고급스럽고 괜찮다 싶었는데 자꾸 볼수록 점점 더 싫어짐. 옆쪽의 아가미크롬장식과 앞쪽의 너무 과한 디자인이 갈수록 비호감이 심해진다. 성공한 디자인은 첨엔 낯설고 이상해도 볼수록 괜찮아져야 하는거고, 실제로 많은 대부분의 차들이 그렇다. 현기차는 크롬장식은 중국시장에서나 많이 쓰고 다른데선 좀 과감히 줄일 필요가 있고, 앞부분의 면과 선도 고민 많이 해서 제대로 정리 할 필요가 있다.",eq900 럭셔리 4WD와 eq900 럭셔리 2WD 견적부탁드립니다.연말에 무조건 삽니다. 부가적인것 없이 차값 할인으로 견적보내주시면 연락드리겠습니다.지역은 충북입니다.fist98@krcon.co.kr,320D 선수금 3천에 할부로 이번달 25일안에 구입예정입니다 견적좀 부탁드려요rhdtka0211@naver.com,,,,
38,부식현대제철,댓글 보러 왔습닌다. 아직 단물 안빠졌나?,"g80 도 막상 가까이서 보면 멋있고 차 웅장한데 이놈이면 오죽하겠어요. 물론 돈이 더 많고 차 한대에 2~3억이상 쓸 수 있는 능력자분들이라면야 외제차들 중에서 선택지가 다양하겠지만,, 그래도 국내에서 동일가격대비 크기나 성능비, 수리.관리.유지.보험비 측면에서는 흉기차만한게 없습니다.하지만 저도 흉기차 알바는 절대 아닙니다 ㅡㅡ;; 현대가 제발 좀 국내시장도 미국시장처럼 대우해줬으면 좋겠어요.","1,2억도 아니고 꼴랑 5천만원만 있으면 사는 차를 못살거라고 절망하는 젊은 청춘들이라니..한심...",,,,
39,미국에서 만족도3위에 올랐던데 드디어 한국에도 프리미엄 브랜드가 생기나요?,이거 현재 판매되고 있는차 맞나요?? 시판한지 5개월째인데...어째...1대도 보이질 않으니...원..,실제로 보니까 거대하고 포스넘친다 ㄷ 흔히보이는 g80이랑 느낌 자체가 틀리네,"12월 중 구매하려합니다. 320d 생각중인데. 프로모션이나 등 더 좋은 혜택있으면 다른모델도 견적 부탁드립니다. 컬러는 상관없으나. 화이트에 브라운시트가 일순위입니다. 서울강남구. 선수금 1000. 공식 및 비공식 할인 포함한 견적으로 부탁합니다. 할부기간 24,36,48개월. 견적주시면 연락드릴게요. somlbe@naver.com",,,,
40,무거운거 빼곤 깔게 없는차,실제로 많이 보이지만 진짜 개별로 /차라리 특이한 스팅어가 백배나아보임,병신같은 앞 디자인 개선 시키면 더욱더 좋은 차가 될수 있음,이거살바엔 g70산다 아 물론 지금아반떼나사랑해야지,,,,
41,해외 섬나라보다 작은 나라에 그것도 반으로 나눠진나라에서 이정도면 잘한거다,이 OOO들아 제네시스 브랜드 만큼은 그냥 깝치지말고 포스코 강판써서 경량화해라 .. 기본이 안되있어 기본이 ㅉㅉ,CAR:고속 주행 안정감 훌륭하다 크기는 매우 크다 5110mm ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,320D m스포츠 패키지 검정색선수금2000천36개월 견적부탁드립니다.kyj7455@naver.com,,,,
42,결함을 계쏙 지적해줘야 양품이 양산되지 결함지적한다고 ㅈㄹ하는것들 알바생들임,그릴이 바비큐굽기 좋은 그릴이다.,체어맨 토크방에섴ㅋㅋㅋㅋㅋㅋㅋㅋ 하하하: 새차로 나오는 클래식 감성.????????????? 돈받아서좋니??,멋있다.. 역시 3시리즈..이상하게 BMW는 옛날꺼도 디자인이 맘에듬..,,,,
43,제네시스를 까는 너희는 무슨차를 타니???,"자꾸 뒷공간 얘기하는데 참고로, 뒷공간이 좁다는건 후륜기술이 초보수준이란것의 증거임. 뒷좌석에 위치하는 밋션 하나더있는데 공간확보를 못할만큼 기술력이 후달린다는거임. 경쟁차종이라는 3시리즈는 뒷좌석을 계속 넓혀가는데",개돼지900000000000000000000000000000000000000000000마리 대기중,"쥐색 320d 선수금1장 36,60개월 ayong8274@gmail.com 부탁드립니다",,,,
44,이거살바에 스팅어 산다 팩트 자신있음 스팅어 게시판와서 나대봐라 한번 ㅋㅋ,..우리보다 체구 훨씬큰 서양사람들도 이보다 작은급차 잘만 타고다니는데 그보다 작은 사람들이 뭐그리 실내공간에 열을 내는지 모르겠군요. 공간 큰걸원하면 G80계약하시면 되는거아닙니까?설마 아직도 가격 = 실내공간 이라고 생각하는사람은 없겠죠?,"물건만 많이 팔리면 절대로 살 차입니다.갖고 싶은 차인데...운전수가 될 듯 하고...차라리,지팔공이 낫나?우리 대표님은 비엠산다고 하시는데....그렇죠...가솔린이 부담 스러우면 디젤이죠...한달에 50만원 정도 나오는 비엠디젤이나 이건 70만원은 기본이니....지방다니면 더더욱 심할 것이고...암튼,그래도 국산 중에서는 최고라 봅니다.",320d 색상 무관 견적 부탁드립니다. 할부견적입니다 electric100@네이버,,,,
